Timestamp,Date,Hour,Open,High,Low,Close_Futures_LTP,Volume,Security_ID,Dhan_Source,Commodity,Futures_Basis_Proxy,Basis_Diff_d1
2026-03-05 21:00,2026-03-05,21,142800.0,142800.0,142450.0,142450.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-350.0,-350.0
2026-03-05 22:00,2026-03-05,22,142450.0,142450.0,142450.0,142450.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,350.0
2026-03-05 23:00,2026-03-05,23,142450.0,142723.0,142296.0,142296.0,2.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-154.0,-154.0
2026-03-06 09:00,2026-03-06,9,142594.0,142594.0,142594.0,142594.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,154.0
2026-03-06 10:00,2026-03-06,10,142594.0,142594.0,142594.0,142594.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-06 11:00,2026-03-06,11,142594.0,142594.0,142303.0,142303.0,2.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-291.0,-291.0
2026-03-06 12:00,2026-03-06,12,142303.0,142303.0,142157.0,142157.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-146.0,145.0
2026-03-06 13:00,2026-03-06,13,142157.0,142189.0,142157.0,142189.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,32.0,178.0
2026-03-06 14:00,2026-03-06,14,142189.0,142189.0,142189.0,142189.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,-32.0
2026-03-06 15:00,2026-03-06,15,142189.0,142189.0,141287.0,141842.0,9.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-347.0,-347.0
2026-03-06 16:00,2026-03-06,16,141842.0,141842.0,141842.0,141842.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,347.0
2026-03-06 17:00,2026-03-06,17,141842.0,141842.0,141842.0,141842.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-06 18:00,2026-03-06,18,141842.0,141842.0,141842.0,141842.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-06 19:00,2026-03-06,19,141842.0,141842.0,141842.0,141842.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-06 20:00,2026-03-06,20,141842.0,141842.0,141842.0,141842.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-06 21:00,2026-03-06,21,141842.0,141842.0,141842.0,141842.0,0.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,0.0
2026-03-06 22:00,2026-03-06,22,141842.0,142540.0,141842.0,142540.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,698.0,698.0
2026-03-06 23:00,2026-03-06,23,142540.0,142540.0,142301.0,142301.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,-239.0,-937.0
2026-03-09 09:00,2026-03-09,9,17710.0,17740.0,17665.0,17729.0,203.0,562056,Dhan HQ Paid API v2 (Client 1112620458),Gold,19.0,258.0
2026-03-09 10:00,2026-03-09,10,140835.0,141577.0,140835.0,141577.0,6.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,742.0,723.0
2026-03-09 11:00,2026-03-09,11,141292.0,141292.0,141292.0,141292.0,1.0,562055,Dhan HQ Paid API v2 (Client 1112620458),Gold,0.0,-742.0
