Date,Open,High,Low,Close_Futures_LTP,Volume,Dhan_Source,Commodity,Security_ID,Unit,Basis_Proxy,Basis_Diff_d1
2026-02-20,25500.0,25500.0,24510.0,24630.0,11.200000000000001,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-870.0,-870.0
2026-02-23,25600.0,25600.0,25500.0,25500.0,23.999999999999996,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-100.0,770.0
2026-02-24,25650.0,25650.0,25600.0,25650.0,20.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,100.0
2026-02-25,25650.0,25650.0,25650.0,25650.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-26,25000.0,25000.0,25000.0,25000.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-02-27,25200.0,25200.0,25200.0,25200.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-02,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-03,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-04,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-05,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-06,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-09,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-10,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-11,25500.0,25500.0,25500.0,25500.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-12,25250.0,25760.0,25250.0,25760.0,35.199999999999996,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,510.0,510.0
2026-03-13,25800.0,26000.0,25800.0,25860.0,35.199999999999996,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,60.0,-450.0
2026-03-16,25900.0,26300.0,25900.0,25940.0,27.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,40.0,-20.0
2026-03-17,25940.0,26200.0,25940.0,26160.0,11.999999999999998,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,220.0,180.0
2026-03-18,26150.0,26740.0,26150.0,26530.0,51.199999999999996,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,380.0,160.0
2026-03-19,26500.0,26550.0,26500.0,26520.0,31.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,20.0,-360.0
2026-03-20,26300.0,26750.0,26220.0,26300.0,31.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-20.0
2026-03-23,26400.0,26740.0,26200.0,26310.0,27.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-90.0,-90.0
2026-03-24,26300.0,26400.0,25890.0,26170.0,31.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-130.0,-40.0
2026-03-25,26010.0,26400.0,26010.0,26300.0,13.999999999999998,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,290.0,420.0
2026-03-26,26300.0,26300.0,26300.0,26300.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-290.0
2026-03-27,26300.0,26300.0,26300.0,26300.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-30,26300.0,26300.0,26300.0,26300.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-03-31,26000.0,26000.0,26000.0,26000.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-01,27030.0,27030.0,27030.0,27030.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-02,27200.0,27500.0,27200.0,27350.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,150.0,150.0
2026-04-06,28100.0,28440.0,28100.0,28170.0,11.200000000000001,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,70.0,-80.0
2026-04-07,28500.0,28990.0,28500.0,28610.0,13.999999999999998,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,110.0,40.0
2026-04-08,28500.0,28500.0,28300.0,28330.0,27.999999999999996,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-170.0,-280.0
2026-04-09,28400.0,28400.0,28400.0,28400.0,16.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,170.0
2026-04-10,28400.0,28990.0,27270.0,28270.0,11.999999999999998,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-130.0,-130.0
2026-04-13,28250.0,28250.0,28250.0,28250.0,15.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,130.0
2026-04-14,28250.0,28250.0,28250.0,28250.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-15,28100.0,28100.0,28100.0,28100.0,15.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-16,28200.0,28250.0,28200.0,28220.0,15.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,20.0,20.0
2026-04-17,29340.0,29340.0,29340.0,29340.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-20.0
2026-04-20,28700.0,28700.0,28310.0,28510.0,2.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,-190.0,-190.0
2026-04-21,28510.0,28510.0,28510.0,28510.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,190.0
2026-04-22,29550.0,29550.0,29550.0,29550.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-23,28800.0,28800.0,28800.0,28800.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-24,28400.0,28400.0,28400.0,28400.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-27,28400.0,28400.0,28400.0,28400.0,1.2,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-04-28,28500.0,28600.0,28500.0,28550.0,4.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,50.0,50.0
2026-04-29,28550.0,28550.0,28550.0,28550.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,-50.0
2026-04-30,28550.0,28550.0,28550.0,28550.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-05-01,27900.0,27900.0,27900.0,27900.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-05-04,27900.0,27900.0,27900.0,27900.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-05-05,28600.0,28600.0,28600.0,28600.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-05-06,28600.0,28600.0,28600.0,28600.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
2026-05-07,29700.0,29700.0,29700.0,29700.0,0.0,Dhan HQ Paid API v2 (1-Year Daily),COTTON,568842,INR/bale,0.0,0.0
